poi_id,poi_name,poi_distance_from_bike_stn,poi_latitude,poi_longitude,bike_station_id,poi_bsns_category
4bbcd49fa8cf76b09703b1fd,Nando's,166,51.531148,-0.122345,025ecd9d4f9708f515a36660227c8f3f,Dining and Drinking
50a24ea3e4b07e7f5791c837,Pitted Olive,24,51.526238,-0.125606,4c4028fef9930764b34cc63c411cd29f,Dining and Drinking
4f21982be4b0644fb3b6b71d,Fork Deli Patisserie,61,51.525852,-0.125749,4c4028fef9930764b34cc63c411cd29f,Dining and Drinking
4c044d11310fc9b69024c761,North Sea Fish Restaurant,45,51.526422,-0.125128,4c4028fef9930764b34cc63c411cd29f,Dining and Drinking
57e56e69498e8d2238e7f6f9,Pizza Sophia,82,51.525609,-0.125164,4c4028fef9930764b34cc63c411cd29f,Dining and Drinking
52d8d46511d2587451325cff,Store St. Espresso,99,51.525669,-0.125036,4c4028fef9930764b34cc63c411cd29f,Dining and Drinking
4f6a1e90e4b0faad0aa95060,Black Books,67,51.52664,-0.125087,4c4028fef9930764b34cc63c411cd29f,Retail
4bb74a04941ad13ad27320e3,Patisserie Deux Amis,133,51.526731,-0.124299,4c4028fef9930764b34cc63c411cd29f,Dining and Drinking
4e95b2e2b8f73812d09ba1f0,Bloomsbury Coffee House,124,51.525176,-0.126344,4c4028fef9930764b34cc63c411cd29f,Dining and Drinking
5a621ce59e0d5424e24aa405,The Observatory,124,51.525446,-0.125172,4c4028fef9930764b34cc63c411cd29f,Dining and Drinking
55a93450498ee308cbd91ed0,Barrafina,50,51.514345,-0.121939,55f4dfcaf7fe3970b8722067a12b2f7f,Dining and Drinking
5346ddea498ee11817d22cc6,Teds Grooming Room,79,51.515278,-0.121646,55f4dfcaf7fe3970b8722067a12b2f7f,Business and Professional Services
5551ea51498eb30c143b565e,The Black Penny,66,51.515222,-0.12168,55f4dfcaf7fe3970b8722067a12b2f7f,Dining and Drinking
4d320da32c76a1439d886cc7,The Top Secret Comedy Club,96,51.515486,-0.122985,55f4dfcaf7fe3970b8722067a12b2f7f,Arts and Entertainment
4acdbe9ef964a520e3cc20e3,Kastner & Ovens,149,51.513497,-0.122729,55f4dfcaf7fe3970b8722067a12b2f7f,Dining and Drinking
60b23f509df58f53f524e41b,Side Hustle at the NoMad,172,51.513425,-0.121949,55f4dfcaf7fe3970b8722067a12b2f7f,Dining and Drinking
5a3436c5f8cbd40efcc089f0,Parsons,186,51.514638,-0.124966,55f4dfcaf7fe3970b8722067a12b2f7f,Dining and Drinking
4c013d559a950f47a6c508c6,Dr Martens,215,51.513615,-0.124855,55f4dfcaf7fe3970b8722067a12b2f7f,Retail
54d78020498ef8e30a122317,Magma,216,51.514667,-0.125498,55f4dfcaf7fe3970b8722067a12b2f7f,Retail
4ac518e9f964a520e5ab20e3,Linbury Studio Theatre,213,51.512779,-0.121884,55f4dfcaf7fe3970b8722067a12b2f7f,Arts and Entertainment
4ada5af6f964a520c22121e3,Gordon Square,109,51.524099,-0.129746,ebe16a8a0722ff26b583e2bda9cd1af4,Landmarks and Outdoors
4ac518d1f964a520d0a620e3,Tavistock Square,144,51.525054,-0.128983,ebe16a8a0722ff26b583e2bda9cd1af4,Landmarks and Outdoors
4cd450ca67adf04da9952691,Euston Tap,232,51.526943,-0.132598,ebe16a8a0722ff26b583e2bda9cd1af4,Dining and Drinking
4ac518d4f964a520b4a720e3,Petrie Museum of Egyptian Archaeology,205,51.523468,-0.132878,ebe16a8a0722ff26b583e2bda9cd1af4,Arts and Entertainment
59202927ee71203139069bd5,Wing Wing,224,51.524632,-0.127591,ebe16a8a0722ff26b583e2bda9cd1af4,Dining and Drinking
589f6f81d4ab736cbd2dfcd2,Euston Tap East Lodge,234,51.527127,-0.132119,ebe16a8a0722ff26b583e2bda9cd1af4,Dining and Drinking
