poi_id,poi_name,review_count,rating,poi_distance_from_bike_stn,poi_latitude,poi_longitude,bike_station_id,poi_bsns_category
QXOrompG3b2o7g6P4ePb5w,Tate Modern,727,4.0,488,51.5078610102146,-0.0991344451904297,26184215d38089fcad213ef222e69780,Dining and Drinking
KzYd2EaFvmu63wqTIektSA,Padella,265,4.5,219,51.5051451,-0.0899515,26184215d38089fcad213ef222e69780,Dining and Drinking
KZd0pTzAhKbIs9Lg94Delg,Bread Ahead Bakery | Borough Market,96,4.5,173,51.5061427,-0.090258,26184215d38089fcad213ef222e69780,Dining and Drinking
K0lmqEgpNz97FausJUyn1A,Swan,258,4.0,394,51.50835,-0.096985,26184215d38089fcad213ef222e69780,Dining and Drinking
rKwkCvsSfp8z7w1CmNnMMQ,The Table,288,4.0,480,51.505604,-0.099671,26184215d38089fcad213ef222e69780,Dining and Drinking
4CGgn2MmN5Z7B6GAlMAcxQ,Mango Indian,144,4.5,113,51.504962,-0.092963,26184215d38089fcad213ef222e69780,Dining and Drinking
mvs07Hrm2YrwObqDubABFg,St. Paul's Cathedral,313,4.5,977,51.5137180425786,-0.0994492651268561,26184215d38089fcad213ef222e69780,Dining and Drinking
h65i1MG-qok2e2eFU_1h1w,Sky Garden,242,4.5,863,51.511313200747,-0.0836999694629159,26184215d38089fcad213ef222e69780,Dining and Drinking
nowLq0ziL3B0Acpyhgs_RA,The View From The Shard,172,4.0,475,51.5042670700976,-0.0864594091162376,26184215d38089fcad213ef222e69780,Dining and Drinking
iVs-N80pYt58IKqFBP1IHA,fish!,194,3.5,173,51.5057616189729,-0.0902772509261922,26184215d38089fcad213ef222e69780,Dining and Drinking
34F8sZE1xq-Ki-zSPbHrGg,Wright Brothers,94,4.0,92,51.5056293987386,-0.0915365713523675,26184215d38089fcad213ef222e69780,Dining and Drinking
qaSQQRWgxlWgGgQPHbfgbA,Millennium Bridge,125,4.5,548,51.5093109572,-0.0985913331076,26184215d38089fcad213ef222e69780,Dining and Drinking
bibItX92d7LSCVThLeXb8Q,Tapas Brindisa,141,4.0,192,51.505063,-0.090526,26184215d38089fcad213ef222e69780,Dining and Drinking
7_mJPWb6tREPW58f2xRpgA,Where the Pancakes are,88,4.5,261,51.504367,-0.0955551,26184215d38089fcad213ef222e69780,Dining and Drinking
VFt0kawsBqqNIh9UJYS4tg,The George Inn,145,4.0,277,51.5040031333562,-0.0902946426058238,26184215d38089fcad213ef222e69780,Dining and Drinking
pMZ4XI-RsAxY6YK3xHVFJA,Boro Bistro,42,4.5,274,51.5061193239226,-0.0887993531057241,26184215d38089fcad213ef222e69780,Dining and Drinking
Di9NvNc6fECXHxyxuyGdrg,Hawksmoor,35,4.5,103,51.5062318,-0.0913238,26184215d38089fcad213ef222e69780,Dining and Drinking
Z0r83lDOA1mI8RpNccXtHw,The Fat Bear,127,4.5,999,51.5131833881734,-0.10138103121642,26184215d38089fcad213ef222e69780,Dining and Drinking
GTImh5FbaxKTo8TXyxRT4w,Rabot 1745,79,4.0,203,51.5053829371106,-0.0899640662595528,26184215d38089fcad213ef222e69780,Dining and Drinking
YRA2VnhFLChIh1ZD31cXjg,The British Museum,1087,4.5,674,51.518298,-0.126026,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
lMVdwKmsxLgqczUXXfgqGg,Punjab Restaurant,584,4.0,1024,51.514992,-0.12596,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
q6KDb7nOXgQa5GTWBaCoCQ,Ciao Bella,138,4.0,247,51.5232425139546,-0.119118084823987,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
r34qKF45zXSpYqTXnhq4RA,North Sea Fish Restaurant,180,4.0,330,51.526474,-0.125051,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
4ibHPLYd299_m1LOdcqxXw,Savoir Faire,212,4.5,786,51.5171949,-0.1260125,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
bVSdbV-LXvyxik6F7u4KXQ,The Marquis Cornwallis,113,4.0,187,51.524567356394,-0.12502513122867,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
Zc0HW9Q1HAXNkiiyh9G_Lw,Abeno,114,4.5,737,51.5175591,-0.125158,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
Odvs0d73SgqDiOQVPNi0dQ,Kanada-Ya,183,4.5,998,51.51555,-0.127588,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
n_oGHFO88muDRn6vgQLjqw,Princess Louise,139,4.0,743,51.517294236118,-0.12157103373648,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
E_3NekwxctQ3BzN7tLKk2A,Casa Tua,51,4.5,417,51.5276449011142,-0.123588235886524,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
gDP6gDHQGKFry_IkHOGflA,Hare & Tortoise,111,3.5,29,51.5238573117279,-0.122894760945433,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
wh4R2zTxcjZw4JcQFNBtog,Aux Pains de Papy,33,5.0,473,51.5273865,-0.1184675,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
1TgYqfxkXv6-IB4cvuuy3w,Tea and Tattle,89,4.5,742,51.5178680419922,-0.126817002892494,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
aTjIuf-lCWF6vGYDlQTPSg,Honest Burgers Kings Cross,112,4.5,805,51.5308718,-0.119039104215517,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
kDw0RC24G3714nPXq34q2Q,Wellcome Collection,94,4.5,831,51.5260571,-0.1340295,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
LyXXTUzll212_JKMkzC3DQ,49 Cafe,43,4.5,215,51.5249587,-0.1251605,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
8gqkjHd2E7PHYWNfw0DVvg,Burger and Shake,59,4.0,215,51.525005,-0.125415,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
Bc4GZfIUJu9363QQVACZVA,Caravan,151,4.0,872,51.5254718215956,-0.110122750616417,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
tHKiDGayBq4RD0oL-DutCg,Bloomsbury Coffee House,61,4.0,305,51.525250540481,-0.126389201213277,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
Tp5yDvTTI0nBlfbeR9sAxw,Espresso Room,45,4.5,293,51.5218919,-0.1197139,1eabd7ac8e781befd03f52ef56a18aa7,Dining and Drinking
YRA2VnhFLChIh1ZD31cXjg,The British Museum,1087,4.5,484,51.518298,-0.126026,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
lMVdwKmsxLgqczUXXfgqGg,Punjab Restaurant,584,4.0,805,51.514992,-0.12596,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
0B-ag3J18TatG9H9EQohGg,Hawksmoor Seven Dials,372,4.5,967,51.5134998914001,-0.12567396291297,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
mc1KLbA1Sy4kUTKo0ZEeRQ,Dishoom,633,4.5,1153,51.513087,-0.139767,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
Opa8XUwUghxbGFafvubV6A,Monmouth Coffee,323,4.5,850,51.5143539,-0.1269168,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
4ibHPLYd299_m1LOdcqxXw,Savoir Faire,212,4.5,594,51.5171949,-0.1260125,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
zdyKTWY6jDasd6Q8BEJdAw,Honest Burgers Meard St - Soho,301,4.5,934,51.5134184063764,-0.132883885733008,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
3AqrHgpIbcMXj0q-p_oPzg,Homeslice Neal's Yard,256,4.5,851,51.5144380966574,-0.126426543278564,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
tYynO1nOy1GKxMV3jkxbmw,The Breakfast Club,551,4.0,846,51.514733,-0.135406,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
sYwBQ7mJYhB35nn-_SZstQ,Yauatcha,518,4.0,944,51.5137076071076,-0.135128831605189,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
LSvWWKNJi4-gaaRDU-VVYA,Golden Union Fish Bar,315,4.0,860,51.5153383,-0.1376925,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
Odvs0d73SgqDiOQVPNi0dQ,Kanada-Ya,183,4.5,709,51.51555,-0.127588,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
ECyM2jq83wTVQrf9CEI01A,Burger & Lobster,315,4.0,915,51.5135487,-0.1322316,23efb32f80a9dcd0e4f61fb44b353ce1,Dining and Drinking
