network_city,network_name,station_name,station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes
London,santander-cycles,"003461 - Sloane Avenue, Knightsbridge",84960e34bea975c535e1a68f43826654,51.4931848,-0.167894973,1,26,27
London,santander-cycles,"002585 - Orsett Terrace, Bayswater",f7a3c78c90b093dbd5180740e0cd534e,51.517932,-0.183716959,14,1,15
London,santander-cycles,"003463 - Argyll Road, Kensington",7557892fad2c965c62483fd1184096fd,51.50040123,-0.195455928,5,14,19
London,santander-cycles,"003477 - Porchester Place, Paddington",4a5e3fb94e4c3a95a10da349093a715e,51.51474612,-0.165164288,17,1,18
London,santander-cycles,"003459 - Collingham Gardens, Earl's Court",1937b785eb3b88881c353b4b0285849b,51.4916156,-0.186753859,12,2,14
London,santander-cycles,"001124 - Sumner Place, South Kensington",51acbe456158a598628a833232e6e2a2,51.49121192,-0.173715911,17,2,19
London,santander-cycles,"001122 - Ashley Place, Victoria",1136bc9f41f8ac2a6f7cf136c698b78a,51.49616092,-0.140947636,4,21,25
London,santander-cycles,"003460 - Warwick Square, Pimlico",472240b0886fa0cc682fd7786ca41e8d,51.48985626,-0.141923621,2,17,19
London,santander-cycles,"001126 - North Audley Street, Mayfair",01995d3d3cff733f43d7809d397b3a7e,51.5129118,-0.153645496,14,3,17
London,santander-cycles,"003473 - Belgrave Square, Belgravia",c05f04b34ae586704595eabcff60a4b6,51.49941247,-0.152317537,5,16,21
London,santander-cycles,"001167 - South Wharf Road, Paddington",cb8d64ceca4f008983502256de21105b,51.51733558,-0.175810943,13,3,16
London,santander-cycles,"001112 - Nutford Place, Marylebone",af6e4ecfa983d291fcff608792659dbf,51.5165179,-0.164393768,6,12,18
London,santander-cycles,"001163 - Wardour Street, Soho",4d67a81d9d7aae8a8bef68b05d7fce74,51.51251523,-0.133201961,15,1,16
London,santander-cycles,"000960 - Hop Exchange, The Borough",f8dfc16e9f34e5c21bfc24efe8831549,51.50462759,-0.091773776,10,46,56
London,santander-cycles,"001080 - Great Tower Street, Monument",c7c51ba2cbfd810b0f5b0d89f4349ff0,51.51048489,-0.082989638,14,10,24
London,santander-cycles,"001102 - Leman Street, Aldgate",551cc979f64f7c74c95478f4ea2b59b0,51.51236389,-0.06954201,22,15,37
London,santander-cycles,"001040 - West Smithfield Rotunda, Farringdon",558771e0ea7e67e8c6ca061364fcad88,51.51821864,-0.100791005,7,8,15
London,santander-cycles,"003468 - Margery Street, Clerkenwell",ef8de55fa4b4d20044bf7ebd22e82f1a,51.52659961,-0.112432615,18,1,19
London,santander-cycles,"003476 - Hinde Street, Marylebone",e0bd52c7b3db937a18db01cbf8f3ae6c,51.51681444,-0.151926305,6,15,21
London,santander-cycles,"003469 - Cadogan Place, Knightsbridge",4838dbea96e0282e553c5ffec7d2507b,51.49464523,-0.158105512,6,28,34
London,santander-cycles,"001079 - Endsleigh Gardens, Euston",e9ab8c33c1f3332a109135bb8f4958bf,51.52683806,-0.130504336,7,25,32
London,santander-cycles,"001092 - Moorfields, Moorgate",98f517ce692ad8848d7a957cfc44d402,51.51906932,-0.088285377,54,0,54
London,santander-cycles,"003479 - Old Brompton Road, South Kensington",44ff26b437e830b5b869ac206ef62434,51.49094565,-0.181190899,25,5,30
London,santander-cycles,"002587 - Wormwood Street, Liverpool Street",0e0da3923f69b417e9c9a6eda7d1cb72,51.51615461,-0.082422399,7,9,16
London,santander-cycles,"003486 - St. Luke's Church, Chelsea",b33f0ba98da0a91add5a15cb71e6285e,51.48971651,-0.170194408,2,18,20
London,santander-cycles,"003481 - Rodney Road , Walworth",c372997154f979a7f79fbf335ba008f2,51.49148474,-0.090220911,13,11,24
London,santander-cycles,"001150 - Queensway, Kensington Gardens",6c7376417da7dc3ff83663054b240c04,51.51031,-0.18740235,5,12,17
London,santander-cycles,"003488 - Charles II Street, West End",0191ad8ece6d587cff8369b58327aacb,51.50844614,-0.131961389,2,22,24
London,santander-cycles,"003470 - Great Percy Street, Clerkenwell",7b420d2107097aa229db5cc94bfe1e3c,51.52891573,-0.115480888,8,14,22
London,santander-cycles,"001067 - St. James's Square, St. James's",3867c27ec16223caa0914ccab9bc37cf,51.50742485,-0.134621209,11,29,40
London,santander-cycles,"001144 - Poured Lines, Bankside",11ae894c98e442b611293fff9ff8e8c5,51.50669284,-0.103137426,1,30,31
