network_city,network_name,station_name,bike_station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes,poi_id,poi_name,poi_distance_from_bike_stn,poi_latitude,poi_longitude,poi_bsns_category,review_count,rating
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,fsOgXPBc9ZAPFGSrHmLvuw,Holland Park,466,51.5014628,-0.2036111,Dining and Drinking,59.0,4.5
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,x3a5aaaRt7wJkzrXfLG96Q,Dishoom - Kensington,480,51.5012974019964,-0.191184893250465,Dining and Drinking,253.0,4.5
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,5tAAwu7ZDhulLsyt09bXnw,Maggie Jones's,581,51.502856014927,-0.1909916674772,Dining and Drinking,134.0,4.5
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,70Q-Ll18zb4aglXXbUG7lw,Ffiona's Restaurant,595,51.50405773515,-0.192783395566043,Dining and Drinking,295.0,4.5
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,q7Oz1gTCgoQkFu3VoOQrDQ,Mohsen,618,51.495177,-0.20302,Dining and Drinking,80.0,4.5
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,tcVWoHSko9PIy_Ec95_j1A,Candella Tea Room,628,51.5040735504425,-0.192011632025242,Dining and Drinking,93.0,4.5
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,l_Y75MzPOr1-PxuJw0JdWg,Addie's Thai Cafe,669,51.493824,-0.194675,Dining and Drinking,120.0,4.0
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,HntBHodgbw-vhW3MaCqbcw,The Windsor Castle,690,51.505787326816,-0.198597460985184,Dining and Drinking,122.0,4.0
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,dZU-PrfDwH3LnuW7XGWi0w,Zaika of Kensington,774,51.502166,-0.187171,Dining and Drinking,84.0,4.5
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,disw05otT_liXnTEy-6ISA,Orjowan Lebanese Cuisine,807,51.4928295219961,-0.193373873798701,Dining and Drinking,113.0,4.5
