yelp_id,yelp_poi_name,review_count,categories,rating,poi_distance,poi_latitude,poi_longitude,bike_station_id
qaSQQRWgxlWgGgQPHbfgbA,Millennium Bridge,125,"[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}]",4.5,548,51.5093109572,-0.0985913331076,26184215d38089fcad213ef222e69780
bibItX92d7LSCVThLeXb8Q,Tapas Brindisa,141,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.0,192,51.505063,-0.090526,26184215d38089fcad213ef222e69780
7_mJPWb6tREPW58f2xRpgA,Where the Pancakes are,88,"[{'alias': 'pancakes', 'title': 'Pancakes'}]",4.5,261,51.504367,-0.0955551,26184215d38089fcad213ef222e69780
VFt0kawsBqqNIh9UJYS4tg,The George Inn,145,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}]",4.0,277,51.5040031333562,-0.0902946426058238,26184215d38089fcad213ef222e69780
pMZ4XI-RsAxY6YK3xHVFJA,Boro Bistro,42,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'french', 'title': 'French'}]",4.5,274,51.5061193239226,-0.0887993531057241,26184215d38089fcad213ef222e69780
Di9NvNc6fECXHxyxuyGdrg,Hawksmoor,35,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,103,51.5062318,-0.0913238,26184215d38089fcad213ef222e69780
Z0r83lDOA1mI8RpNccXtHw,The Fat Bear,127,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]",4.5,999,51.5131833881734,-0.10138103121642,26184215d38089fcad213ef222e69780
GTImh5FbaxKTo8TXyxRT4w,Rabot 1745,79,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.0,203,51.5053829371106,-0.0899640662595528,26184215d38089fcad213ef222e69780
YRA2VnhFLChIh1ZD31cXjg,The British Museum,1087,"[{'alias': 'museums', 'title': 'Museums'}]",4.5,674,51.518298,-0.126026,1eabd7ac8e781befd03f52ef56a18aa7
lMVdwKmsxLgqczUXXfgqGg,Punjab Restaurant,584,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",4.0,1024,51.514992,-0.12596,1eabd7ac8e781befd03f52ef56a18aa7
q6KDb7nOXgQa5GTWBaCoCQ,Ciao Bella,138,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,247,51.5232425139546,-0.119118084823987,1eabd7ac8e781befd03f52ef56a18aa7
r34qKF45zXSpYqTXnhq4RA,North Sea Fish Restaurant,180,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}]",4.0,330,51.526474,-0.125051,1eabd7ac8e781befd03f52ef56a18aa7
4ibHPLYd299_m1LOdcqxXw,Savoir Faire,212,"[{'alias': 'french', 'title': 'French'}]",4.5,786,51.5171949,-0.1260125,1eabd7ac8e781befd03f52ef56a18aa7
bVSdbV-LXvyxik6F7u4KXQ,The Marquis Cornwallis,113,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}]",4.0,187,51.524567356394,-0.12502513122867,1eabd7ac8e781befd03f52ef56a18aa7
Zc0HW9Q1HAXNkiiyh9G_Lw,Abeno,114,"[{'alias': 'japanese', 'title': 'Japanese'}]",4.5,737,51.5175591,-0.125158,1eabd7ac8e781befd03f52ef56a18aa7
Odvs0d73SgqDiOQVPNi0dQ,Kanada-Ya,183,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.5,998,51.51555,-0.127588,1eabd7ac8e781befd03f52ef56a18aa7
n_oGHFO88muDRn6vgQLjqw,Princess Louise,139,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}]",4.0,743,51.517294236118,-0.12157103373648,1eabd7ac8e781befd03f52ef56a18aa7
